COORDX;COORDY;TIPO_UNID;NOME;NUMERO;CNES;HORARIO_FU;MUNICIPIO;JURISDICAO;ORIG_FID;BAIRRO;COD_MUN;CEP;SITUACAO;ZONA;LOGRADOURO;DATA;TELEFONE;SIGLA;EMAIL;GESTAO;SIGLA_EXTE;TIPO_ESTAB;FONTE;Id
-40,1133028266258;-19,1840309988367;"""""";UNIDADE ESF ALEGRE;95;2499371;;Sooretama;Municipal;;CORREGO ALEGRE;320501;29927000;;;RUA ESMERALDINO SIMPLICIO DOS SANTOS;22/10/2019;(27)32731015;;apssooretama@hotmail.com;M;;016;;1
-41,5369030139949;-21,0889815477892;"""""";UNIDADE DE SAUDE DA FAMILIA RURAL;S/N;2446928;;Apiacá;Municipal;;BONSUCESSO;320050;29450000;;;RUA ANSELMO SOARES;28/11/2018;(28)35602203;;saudepmapiaca@yahoo.com.br;M;;001;;2
-41,5777587738084;-21,147828423112;"""""";UNIDADE DE SAUDE DA FAMILIA JOSE CARLOS;09;2446901;;Apiacá;Municipal;;CENTRO;320050;29450000;;;RUA MANOEL DA SILVA ARAUJO;25/11/2019;(28)35571351;;saudepmapiaca@yahoo.com.br;M;;001;;3
-40,3794342943758;-20,3015586064334;"""""";US VILA GRAUNA;S/N;2466104;;Cariacica;Municipal;;VILA GRAUNA;320130;29154620;;;RUA LAURINDA PEREIRA DO NASCIMENTO;03/09/2019;27 33466547;;"""""";M;;001;;4
-40,4082212699358;-20,2771535283458;"""""";US SANTA LUZIA;36;2466155;;Cariacica;Municipal;;SANTA LUZIA;320130;29150630;;;RUA ITAPINA;03/09/2019;27 32542713/32545787;;"""""";M;;001;;5
-40,3830326824344;-20,2516422971807;"""""";US SEBASTIAO GONCALVES NRP II;S/N;2483726;;Cariacica;Municipal;;NOVA ROSA DA PENHA I;320130;29157313;;;RUA CINQUENTA E UM;31/10/2019;27 32546886/32545265;;"""""";M;;001;;6
-40,3613087843143;-20,2979422168958;"""""";POLICLINICA CARIACICA;S/N;2486059;;Cariacica;Municipal;;ITACIBA;320130;29146470;;;RUA GUARAPARI;17/09/2019;(27)33369241;;"""""";M;;016;;7
-40,2686656198206;-19,8324727206866;"""""";UNIDADE BASICA DE SAUDE DE BELA VISTA;S/N;2770105;;Aracruz;Municipal;;BELA VISTA;320060;29192080;;;RUA CARLOS SOELA;14/10/2019;(27) 3270-7477;;"""""";M;;001;;8
-40,142250718428;-19,9319212368345;"""""";UNIDADE BASICA DE SAUDE DE COQUEIRAL;S/N;2770148;;Aracruz;Municipal;;COQUEIRAL;320060;29199054;;;AVENIDA DOS COQUEIROS;09/10/2019;(27) 3270-7414;;"""""";M;;001;;9
-40,283954184054;-19,9272585405882;"""""";UNIDADE BASICA DE SAUDE DE SANTA ROSA;S/N;2770164;;Aracruz;Municipal;;SANTA ROSA;320060;29190970;;;RUA PRINCIPAL;09/10/2019;(27) 3276-3055;;"""""";M;;001;;10
-40,1750908176255;-19,920629832598;"""""";UNIDADE BASICA DE SAUDE INDIGENA DE CAIEIRAS VELHA;S/N;2770180;;Aracruz;Municipal;;ALDEIA;320060;29190970;;;RUA PRINCIPAL;03/07/2019;27 3250-2787;;distritomges@saude.gov.br;M;;001;;11
