LOGRADOURO;COD_BAIRRO;ID_TIPO;TELEFONE;DATA;ID_EQUIPAM;ID_TIPO_DE;COD_MUNICI;NOME_BAIRR;NOME_MUNIC;NOME;AGENCIA;COORDX;COORDY;Id
Rodovia do Café, Km 01, 901, Carlos Germano Naumann, Colatina;0;0;0;;0;0;3201506;;Colatina;3ª COMPANHIA INDEPENDENTE;Bombeiro Militar;-40,6576000823777;-19,5088989672021;1
Rodovia BR-259, km 58, Novo Horizonte, Colatina;0;0;0;;0;0;3201506;;Colatina;2ª COMPANHIA DO BATALHÃO DE POLÍCIA AMBIENTAL;Polícia Militar;-40,6684998718616;-19,52379549237;2
Rua Gaubêncio de Souza, 305, Itapina, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE ITAPINA;Polícia Militar;-40,8149997593278;-19,5334049382178;3
Rodovia ES-080, Ponte do Pancas, Colatina;0;0;0;;0;0;3201506;;Colatina;3ª COMPANHIA DO BATALHÃO DE POLÍCIA DE TRÂNSITO - POSTO 12;Polícia Militar;-40,6803997951222;-19,4095022354334;4
Rua São Braz,183, Perpétuo Socorro, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE PERPÉTUO SOCORRO;Polícia Militar;-40,6282996749422;-19,540604515347;5
Rua Santa Maria, Boapaba, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE BOAPABA;Polícia Militar;-40,6191002535392;-19,6333970842071;6
Rua Antônio Perutti,723, Honório Fraga, Colatina;0;0;0;;0;0;3201506;;Colatina;1ª COMPANHIA DO 8º BATALHÃO DE POLÍCIA MILITAR;Polícia Militar;-40,6631994563426;-19,5280000655269;7
Rua Castelo Branco, Nossa Senhora Aparecida, Colatina;0;0;0;;0;0;3201506;;Colatina;SERVIÇO DE ATENDIMENTO AO CIDADÃO - NOSSA SENHORA APARECIDA;Polícia Militar;-40,6414002478881;-19,5234021609458;8
Rua Pedro Epichim, 68, Colatina Velha, Colatina;0;0;0;;0;0;3201506;;Colatina;8º BATALHÃO DE POLÍCIA MILITAR;Polícia Militar;-40,6231997212881;-19,5308030035353;9
Rua João Batista do Vale, Ayrton Senna, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE AYRTON SENNA;Polícia Militar;-40,6552001166642;-19,4941951319049;10
Rua Cinco de Julho, 97, São João Pequeno, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE SÃO JOÃO PEQUENO;Polícia Militar;-40,7541000198874;-19,3477990128033;11
Rua Enzo Ferrari, Villa Verdi, Colatina;0;0;0;;0;0;3201506;;Colatina;DPM DE VILLA VERDI;Polícia Militar;-40,6459995485661;-19,5138020960638;12
Avenida Presidente Kennedy, 1243, Vila Lenira, Colatina;0;0;0;;0;0;3201506;;Colatina;3º PELOTÃO DA 3ª CIA DO BATALHÃO DE POLÍCIA DE TRÂNSITO;Polícia Militar;-40,6326000743801;-19,5510996705615;13
Avenida Silvio Avidos, 2055, São Silvano, Colatina;0;0;0;;0;0;3201506;;Colatina;COMANDO DE POLÍCIA OSTENSIVA NOROESTE - CPO NOROESTE;Polícia Militar;-40,6466003125036;-19,517898180369;14
Rua Benjamin Constant, 110, Marista, Colatina;0;0;0;;0;0;3201506;;Colatina;15ª DELEGACIA REGIONAL - COLATINA;Polícia Civil;-40,6380999774012;-19,5395944133167;15
Rua Benjamim Constante,110, Bairro Marista, Colatina;0;0;0;;0;0;3201506;;Colatina;SUPERINTENDÊNCIA DE POLÍCIA REGIONAL NOROESTE - SPRNO;Polícia Civil;-40,6380999774012;-19,5395944133167;16
Rua Benjamin Constant, 110, Marista, Colatina;0;0;0;;0;0;3201506;;Colatina;DELEGACIA ESPECIALIZADA DE ATENDIMENTO À MULHER - DEAM;Polícia Civil;-40,6380000696597;-19,5397037304554;17
